Algoritmo, numero di punti, cluster, iterazioni, popolazione, cutoff, tempo(ms)
DOMANDA
Seriale,284,50,100,100000, ,193
Parallelo,284,50,100,100000,0,103
Seriale,763,50,100,50000, ,516
Parallelo,763,50,100,50000,0,234
Seriale,2630,50,100,15000, ,1777
Parallelo,2630,50,100,15000,0,733
Seriale,5920,50,100,5000, ,3989
Parallelo,5920,50,100,5000,0,1616
Seriale,10012,50,100,2000, ,6764
Parallelo,10012,50,100,2000,0,2766
Seriale,21789,50,100,250, ,14800
Parallelo,21789,50,100,250,0,5904
Seriale,38183,50,100,-999, ,26230
Parallelo,38183,50,100,-999,0,10273
DOMANDA
Seriale,38183,10,100,38183, ,5110
Parallelo,38183,10,100,38183,0,2185
Seriale,38183,20,100,38183, ,10252
Parallelo,38183,20,100,38183,0,4200
Seriale,38183,30,100,38183, ,15706
Parallelo,38183,30,100,38183,0,6546
Seriale,38183,40,100,38183, ,21181
Parallelo,38183,40,100,38183,0,8342
Seriale,38183,50,100,38183, ,25979
Parallelo,38183,50,100,38183,0,10377
Seriale,38183,60,100,38183, ,31661
Parallelo,38183,60,100,38183,0,12429
Seriale,38183,70,100,38183, ,36687
Parallelo,38183,70,100,38183,0,14849
Seriale,38183,80,100,38183, ,42360
Parallelo,38183,80,100,38183,0,16482
Seriale,38183,90,100,38183, ,46980
Parallelo,38183,90,100,38183,0,19629
Seriale,38183,100,100,38183, ,52480
Parallelo,38183,100,100,38183,0,21936
DOMANDA
Seriale,38183,50,10,38183, ,2678
Parallelo,38183,50,10,38183,0,1027
Seriale,38183,50,100,38183, ,26006
Parallelo,38183,50,100,38183,0,11353
Seriale,38183,50,190,38183, ,50161
Parallelo,38183,50,190,38183,0,20941
Seriale,38183,50,280,38183, ,73393
Parallelo,38183,50,280,38183,0,30645
Seriale,38183,50,370,38183, ,96679
Parallelo,38183,50,370,38183,0,40334
Seriale,38183,50,460,38183, ,119602
Parallelo,38183,50,460,38183,0,49743
Seriale,38183,50,550,38183, ,143258
Parallelo,38183,50,550,38183,0,58488
Seriale,38183,50,640,38183, ,166350
Parallelo,38183,50,640,38183,0,68631
Seriale,38183,50,730,38183, ,189549
Parallelo,38183,50,730,38183,0,78699
Seriale,38183,50,820,38183, ,213583
Parallelo,38183,50,820,38183,0,88696
Seriale,38183,50,910,38183, ,235413
Parallelo,38183,50,910,38183,0,98850
Seriale,38183,50,1000,38183, ,258820
Parallelo,38183,50,1000,38183,0,109012
DOMANDA
Parallelo,38183,50,100,38183,10,5838
Parallelo,38183,50,100,38183,657,5239
Parallelo,38183,50,100,38183,1304,5293
Parallelo,38183,50,100,38183,1951,5246
Parallelo,38183,50,100,38183,2598,5331
Parallelo,38183,50,100,38183,3245,5280
Parallelo,38183,50,100,38183,3892,5322
Parallelo,38183,50,100,38183,4539,5292
Parallelo,38183,50,100,38183,5186,5446
Parallelo,38183,50,100,38183,5833,5750
Parallelo,38183,50,100,38183,6480,5770
Parallelo,38183,50,100,38183,7127,5799
Parallelo,38183,50,100,38183,7774,5971
Parallelo,38183,50,100,38183,8421,5786
Parallelo,38183,50,100,38183,9068,7081
Parallelo,38183,50,100,38183,9715,8216
Parallelo,38183,50,100,38183,10362,8369
Parallelo,38183,50,100,38183,11009,8144
Parallelo,38183,50,100,38183,11656,8309
Parallelo,38183,50,100,38183,12303,8566
Parallelo,38183,50,100,38183,12950,8428
Parallelo,38183,50,100,38183,13597,8269
Parallelo,38183,50,100,38183,14244,8455
Parallelo,38183,50,100,38183,14891,8419
Parallelo,38183,50,100,38183,15538,8396
Parallelo,38183,50,100,38183,16185,8135
Parallelo,38183,50,100,38183,16832,8450
Parallelo,38183,50,100,38183,17479,8613
Parallelo,38183,50,100,38183,18126,8525
Parallelo,38183,50,100,38183,18773,8494
Parallelo,38183,50,100,38183,19420,15058
Parallelo,38183,50,100,38183,20067,15096
Parallelo,38183,50,100,38183,20714,15007
Parallelo,38183,50,100,38183,21361,15009
Parallelo,38183,50,100,38183,22008,15146
Parallelo,38183,50,100,38183,22655,15225
Parallelo,38183,50,100,38183,23302,15259
Parallelo,38183,50,100,38183,23949,15084
Parallelo,38183,50,100,38183,24596,15191
Parallelo,38183,50,100,38183,25243,15198
Parallelo,38183,50,100,38183,25890,15232
Parallelo,38183,50,100,38183,26537,15025
Parallelo,38183,50,100,38183,27184,14985
Parallelo,38183,50,100,38183,27831,15090
Parallelo,38183,50,100,38183,28478,15273
Parallelo,38183,50,100,38183,29125,14978
Parallelo,38183,50,100,38183,29772,14909
Parallelo,38183,50,100,38183,30419,15043
Parallelo,38183,50,100,38183,31066,15119
Parallelo,38183,50,100,38183,31713,15150
Parallelo,38183,50,100,38183,32360,14972
Parallelo,38183,50,100,38183,33007,15267
Parallelo,38183,50,100,38183,33654,15160
Parallelo,38183,50,100,38183,34301,15259
Parallelo,38183,50,100,38183,34948,15092
Parallelo,38183,50,100,38183,35595,14950
Parallelo,38183,50,100,38183,36242,15123
Parallelo,38183,50,100,38183,36889,15222
Parallelo,38183,50,100,38183,37536,14840
Parallelo,38183,50,100,38183,38183,27828
