Algoritmo, numero di punti, cluster, iterazioni, popolazione, cutoff, tempo(ms)
DOMANDA
Parallelo,38183,50,100,38183,10,6196
Parallelo,38183,50,100,38183,657,5401
Parallelo,38183,50,100,38183,1304,5877
Parallelo,38183,50,100,38183,1951,5879
Parallelo,38183,50,100,38183,2598,5632
Parallelo,38183,50,100,38183,3245,5252
Parallelo,38183,50,100,38183,3892,5849
Parallelo,38183,50,100,38183,4539,5304
Parallelo,38183,50,100,38183,5186,5696
Parallelo,38183,50,100,38183,5833,6239
Parallelo,38183,50,100,38183,6480,5652
Parallelo,38183,50,100,38183,7127,5683
Parallelo,38183,50,100,38183,7774,5760
Parallelo,38183,50,100,38183,8421,5711
Parallelo,38183,50,100,38183,9068,5603
Parallelo,38183,50,100,38183,9715,8668
Parallelo,38183,50,100,38183,10362,8431
Parallelo,38183,50,100,38183,11009,8687
Parallelo,38183,50,100,38183,11656,8855
Parallelo,38183,50,100,38183,12303,8680
Parallelo,38183,50,100,38183,12950,8769
Parallelo,38183,50,100,38183,13597,9043
Parallelo,38183,50,100,38183,14244,9014
Parallelo,38183,50,100,38183,14891,8259
Parallelo,38183,50,100,38183,15538,9843
Parallelo,38183,50,100,38183,16185,8598
Parallelo,38183,50,100,38183,16832,8987
Parallelo,38183,50,100,38183,17479,8679
Parallelo,38183,50,100,38183,18126,9760
Parallelo,38183,50,100,38183,18773,8388
Parallelo,38183,50,100,38183,19420,15068
Parallelo,38183,50,100,38183,20067,15394
Parallelo,38183,50,100,38183,20714,16176
Parallelo,38183,50,100,38183,21361,15690
Parallelo,38183,50,100,38183,22008,15864
Parallelo,38183,50,100,38183,22655,15312
Parallelo,38183,50,100,38183,23302,15526
Parallelo,38183,50,100,38183,23949,15911
Parallelo,38183,50,100,38183,24596,15342
Parallelo,38183,50,100,38183,25243,15724
Parallelo,38183,50,100,38183,25890,15339
Parallelo,38183,50,100,38183,26537,15541
Parallelo,38183,50,100,38183,27184,15331
Parallelo,38183,50,100,38183,27831,15221
Parallelo,38183,50,100,38183,28478,15364
Parallelo,38183,50,100,38183,29125,15405
Parallelo,38183,50,100,38183,29772,15192
Parallelo,38183,50,100,38183,30419,15930
Parallelo,38183,50,100,38183,31066,15394
Parallelo,38183,50,100,38183,31713,15334
Parallelo,38183,50,100,38183,32360,15194
Parallelo,38183,50,100,38183,33007,15175
Parallelo,38183,50,100,38183,33654,15273
Parallelo,38183,50,100,38183,34301,15194
Parallelo,38183,50,100,38183,34948,15292
Parallelo,38183,50,100,38183,35595,15272
Parallelo,38183,50,100,38183,36242,15565
Parallelo,38183,50,100,38183,36889,15266
Parallelo,38183,50,100,38183,37536,15167
Parallelo,38183,50,100,38183,38183,28579
